latitude,longitude,data,bright_ti4,bright_ti5,frp,scan,track,confidence_num,daynight_num,fonte,classe,data_original,ano,mes,dia,dia_do_ano,risco_fogo,diferenca_brilho,temperatura,umidade,vento,chuva,frp_por_brilho,periodo_seco
-11.54422,-56.33239,2026-06-04,334.15,303.59,3.25,0.41,0.37,60,1,NASA_FIRMS,queimada,2026-06-04,2026,6,4,155,20049.0,30.56,,,,,0.009697150529613606,0
-15.77849,-49.44043,2026-06-04,351.81,306.27,15.15,0.5,0.41,60,1,NASA_FIRMS,queimada,2026-06-04,2026,6,4,155,21108.6,45.54000000000002,,,,,0.04294095972336385,0
-18.92756,-51.39186,2026-06-02,332.9,298.57,1.04,0.42,0.61,60,1,NASA_FIRMS,queimada,2026-06-02,2026,6,2,153,19974.0,34.329999999999984,,,,,0.0031147050014974547,0
-16.80121,-54.17337,2026-06-04,307.67,292.43,0.85,0.48,0.4,60,0,NASA_FIRMS,queimada,2026-06-04,2026,6,4,155,18460.2,15.240000000000007,,,,,0.002753749959503677,0
-19.439100724990404,-62.86290217561389,2026-11-09,0.0,0.0,0.0,0.0,0.0,0,0,GERADO,normal,2026-11-09,2026,11,9,313,0.0,0.0,,,,,0.0,0
-10.93749,-46.94013,2026-06-05,318.71,291.32,1.26,0.44,0.38,60,0,NASA_FIRMS,queimada,2026-06-05,2026,6,5,156,19122.6,27.389999999999983,,,,,0.003941071596133996,0
-19.22658,-54.31271,2026-06-02,332.11,301.68,1.38,0.54,0.51,60,1,NASA_FIRMS,queimada,2026-06-02,2026,6,2,153,19926.6,30.430000000000007,,,,,0.004142775659691993,0
-22.38877,-57.1485,2026-06-02,328.89,292.53,4.81,0.5,0.41,60,1,NASA_FIRMS,queimada,2026-06-02,2026,6,2,153,19733.4,36.360000000000014,,,,,0.014580617781684804,0
-9.41632,-48.28281,2026-06-03,338.5,290.31,7.44,0.78,0.78,60,1,NASA_FIRMS,queimada,2026-06-03,2026,6,3,154,20310.0,48.19,,,,,0.02191458026509573,0
-30.59754642596952,-43.29421981889881,2025-10-22,0.0,0.0,0.0,0.0,0.0,0,0,GERADO,normal,2025-10-22,2025,10,22,295,0.0,0.0,,,,,0.0,1
-9.08577,-50.59763,2026-06-02,328.43,296.62,6.03,0.53,0.67,60,1,NASA_FIRMS,queimada,2026-06-02,2026,6,2,153,19705.8,31.81,,,,,0.01830434386667881,0
-23.2761610144562,-71.91444502817932,2025-11-17,0.0,0.0,0.0,0.0,0.0,0,0,GERADO,normal,2025-11-17,2025,11,17,321,0.0,0.0,,,,,0.0,0
-8.87908,-48.49883,2026-06-03,302.89,289.06,1.19,0.57,0.43,60,0,NASA_FIRMS,queimada,2026-06-03,2026,6,3,154,18173.4,13.829999999999984,,,,,0.003915890618315838,0
-10.44975,-47.94788,2026-06-02,330.52,302.14,5.16,0.37,0.58,30,1,NASA_FIRMS,queimada,2026-06-02,2026,6,2,153,9915.6,28.379999999999995,,,,,0.015564671814671817,0
-22.90844,-43.73225,2026-06-05,318.2,287.25,3.43,0.47,0.39,60,0,NASA_FIRMS,queimada,2026-06-05,2026,6,5,156,19092.0,30.94999999999999,,,,,0.01074561403508772,0
-18.40129,-51.45703,2026-06-04,337.38,309.7,6.26,0.39,0.37,60,1,NASA_FIRMS,queimada,2026-06-04,2026,6,4,155,20242.8,27.680000000000007,,,,,0.01849991134227791,0
-5.208475928714847,-40.295503400812464,2026-04-15,0.0,0.0,0.0,0.0,0.0,0,0,GERADO,normal,2026-04-15,2026,4,15,105,0.0,0.0,,,,,0.0,0
-22.67459,-47.40586,2026-06-05,311.87,286.77,1.57,0.38,0.36,60,0,NASA_FIRMS,queimada,2026-06-05,2026,6,5,156,18712.2,25.100000000000023,,,,,0.005018058618595583,0
